Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,25553,,25553,,25553,Mary Holman,,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
2,25553,,25553,,25553,Mary Holman,,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
1,25553,,25553,,25553,Mary Holman,,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
1,25553,,25553,,25553,Mary Holman,,Aerospace Studies,1A,001,B,Letter Grade,B-,Found Us Air Force
2,25553,,25553,,25553,Mary Holman,,Aerospace Studies,1A,001,F,Letter Grade,F,Found Us Air Force
1,25553,,25553,,25553,Mary Holman,,Aerospace Studies,1A,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
2,30707,,30707,,30707,Mary Holman,,Aerospace Studies,1A,002,A,Letter Grade,A,Found Us Air Force
1,30707,,30707,,30707,Mary Holman,,Aerospace Studies,1A,002,B,Letter Grade,B,Found Us Air Force
1,30707,,30707,,30707,Mary Holman,,Aerospace Studies,1A,002,F,Letter Grade,F,Found Us Air Force
3,21335,,21335,,21335,Mary Holman,,Aerospace Studies,1B,001,A,Letter Grade,A+,Found Us Air Force
3,21335,,21335,,21335,Mary Holman,,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
1,21335,,21335,,21335,Mary Holman,,Aerospace Studies,1B,001,B,Letter Grade,B,Found Us Air Force
1,21335,,21335,,21335,Mary Holman,,Aerospace Studies,1B,001,B,Letter Grade,B-,Found Us Air Force
1,21335,,21335,,21335,Mary Holman,,Aerospace Studies,1B,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
10,25013,,25013,,25013,Mary Holman,,Aerospace Studies,1B,002,A,Letter Grade,A+,Found Us Air Force
8,25013,,25013,,25013,Mary Holman,,Aerospace Studies,1B,002,A,Letter Grade,A,Found Us Air Force
5,25013,,25013,,25013,Mary Holman,,Aerospace Studies,1B,002,A,Letter Grade,A-,Found Us Air Force
2,25013,,25013,,25013,Mary Holman,,Aerospace Studies,1B,002,B,Letter Grade,B+,Found Us Air Force
2,25013,,25013,,25013,Mary Holman,,Aerospace Studies,1B,002,B,Letter Grade,B,Found Us Air Force
1,25013,,25013,,25013,Mary Holman,,Aerospace Studies,1B,002,B,Letter Grade,B-,Found Us Air Force
1,25013,,25013,,25013,Mary Holman,,Aerospace Studies,1B,002,F,Letter Grade,F,Found Us Air Force
2,21336,,21336,,21336,Andrew Emerson,,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
2,21336,,21336,,21336,Andrew Emerson,,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
3,21336,,21336,,21336,Andrew Emerson,,Aerospace Studies,2A,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
2,21337,,21337,,21337,Andrew Emerson,,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
7,21337,,21337,,21337,Andrew Emerson,,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
4,21337,,21337,,21337,Andrew Emerson,,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
1,21337,,21337,,21337,Andrew Emerson,,Aerospace Studies,2B,001,C,Letter Grade,C-,Evolut Of Air Power
