Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
6,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,B,Letter Grade,B+,Glob & Min Am Comm
6,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,B,Letter Grade,B,Glob & Min Am Comm
3,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,B,Letter Grade,B-,Glob & Min Am Comm
10,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,C,Letter Grade,C,Glob & Min Am Comm
4,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,C,Letter Grade,C-,Glob & Min Am Comm
3,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,D,Letter Grade,D,Glob & Min Am Comm
1,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,F,Letter Grade,F,Glob & Min Am Comm
15,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,Credit,Non-Letter Grade,Pass,Glob & Min Am Comm
1,21318,,21318,,21318,Nitoshia Ford; Sherice Nelson,,African American Studies,28AC,001,No Credit,Non-Letter Grade,Not Pass,Glob & Min Am Comm
1,30963,,30963,,30963,Sam Mchombo,,African American Studies,30A,001,A,Letter Grade,A+,Elementary Chichewa
2,30963,,30963,,30963,Sam Mchombo,,African American Studies,30A,001,A,Letter Grade,A,Elementary Chichewa
1,30963,,30963,,30963,Sam Mchombo,,African American Studies,30A,001,A,Letter Grade,A-,Elementary Chichewa
6,17371,,17371,,17371,John Dougherty,,African American Studies,98BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,17371,,17371,,17371,John Dougherty,,African American Studies,98BC,001,No Credit,Non-Letter Grade,Not Pass,Directed Group Stud
6,17372,,17372,,17372,John Dougherty,,African American Studies,98BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,17372,,17372,,17372,John Dougherty,,African American Studies,98BC,002,No Credit,Non-Letter Grade,Not Pass,Directed Group Stud
11,26165,,26165,,26165,Leigh Raiford,,African American Studies,100,001,A,Letter Grade,A,Black Intllctl Thgh
9,26165,,26165,,26165,Leigh Raiford,,African American Studies,100,001,A,Letter Grade,A-,Black Intllctl Thgh
11,26165,,26165,,26165,Leigh Raiford,,African American Studies,100,001,B,Letter Grade,B+,Black Intllctl Thgh
2,26165,,26165,,26165,Leigh Raiford,,African American Studies,100,001,B,Letter Grade,B,Black Intllctl Thgh
4,26165,,26165,,26165,Leigh Raiford,,African American Studies,100,001,B,Letter Grade,B-,Black Intllctl Thgh
2,26165,,26165,,26165,Leigh Raiford,,African American Studies,100,001,C,Letter Grade,C+,Black Intllctl Thgh
4,26165,,26165,,26165,Leigh Raiford,,African American Studies,100,001,Credit,Non-Letter Grade,Pass,Black Intllctl Thgh
2,21335,,21335,,21335,Janelle Scott,,African American Studies,101,001,A,Letter Grade,A,Research Methods
1,21335,,21335,,21335,Janelle Scott,,African American Studies,101,001,A,Letter Grade,A-,Research Methods
2,21335,,21335,,21335,Janelle Scott,,African American Studies,101,001,B,Letter Grade,B+,Research Methods
1,21335,,21335,,21335,Janelle Scott,,African American Studies,101,001,B,Letter Grade,B,Research Methods
7,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,A,Letter Grade,A,Pol/Eco Dev 3rd Wld
21,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,A,Letter Grade,A-,Pol/Eco Dev 3rd Wld
7,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,B,Letter Grade,B+,Pol/Eco Dev 3rd Wld
16,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,B,Letter Grade,B,Pol/Eco Dev 3rd Wld
6,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,B,Letter Grade,B-,Pol/Eco Dev 3rd Wld
1,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,F,Letter Grade,F,Pol/Eco Dev 3rd Wld
24,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,Credit,Non-Letter Grade,Pass,Pol/Eco Dev 3rd Wld
1,26126,,26126,,26126,Tianna Paschel,,African American Studies,112A,001,No Credit,Non-Letter Grade,Not Pass,Pol/Eco Dev 3rd Wld
2,30967,,30967,,30967,Sam Mchombo,,African American Studies,115,001,A,Letter Grade,A+,Lang Soc Iss Africa
12,30967,,30967,,30967,Sam Mchombo,,African American Studies,115,001,A,Letter Grade,A,Lang Soc Iss Africa
12,30967,,30967,,30967,Sam Mchombo,,African American Studies,115,001,A,Letter Grade,A-,Lang Soc Iss Africa
2,30967,,30967,,30967,Sam Mchombo,,African American Studies,115,001,B,Letter Grade,B+,Lang Soc Iss Africa
1,30967,,30967,,30967,Sam Mchombo,,African American Studies,115,001,B,Letter Grade,B,Lang Soc Iss Africa
1,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,A,Letter Grade,A+,Africa From Revolut
9,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,A,Letter Grade,A,Africa From Revolut
3,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,A,Letter Grade,A-,Africa From Revolut
5,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,B,Letter Grade,B+,Africa From Revolut
2,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,B,Letter Grade,B,Africa From Revolut
1,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,B,Letter Grade,B-,Africa From Revolut
1,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,C,Letter Grade,C,Africa From Revolut
8,25701,,25701,,25701,G Ugo Nwokeji,,African American Studies,120,001,Credit,Non-Letter Grade,Pass,Africa From Revolut
25,21336,,21336,,21336,Michel Laguerre,,African American Studies,131,001,A,Letter Grade,A,"Carib Soc, Cultures"
12,21336,,21336,,21336,Michel Laguerre,,African American Studies,131,001,A,Letter Grade,A-,"Carib Soc, Cultures"
2,21336,,21336,,21336,Michel Laguerre,,African American Studies,131,001,B,Letter Grade,B+,"Carib Soc, Cultures"
2,21336,,21336,,21336,Michel Laguerre,,African American Studies,131,001,B,Letter Grade,B,"Carib Soc, Cultures"
5,21336,,21336,,21336,Michel Laguerre,,African American Studies,131,001,Credit,Non-Letter Grade,Pass,"Carib Soc, Cultures"
8,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,A,Letter Grade,A+,Race/American Film
66,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,A,Letter Grade,A,Race/American Film
5,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,A,Letter Grade,A-,Race/American Film
7,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,B,Letter Grade,B+,Race/American Film
2,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,B,Letter Grade,B,Race/American Film
1,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,F,Letter Grade,F,Race/American Film
17,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,Credit,Non-Letter Grade,Pass,Race/American Film
1,21338,,21338,,21338,Cherod Johnson; Michelle Koerner; Nicole Ramsey,,African American Studies,142AC,001,No Credit,Non-Letter Grade,Not Pass,Race/American Film
3,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,A,Letter Grade,A+,Afriam Lit '20-Pres
6,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,A,Letter Grade,A,Afriam Lit '20-Pres
5,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,A,Letter Grade,A-,Afriam Lit '20-Pres
4,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,B,Letter Grade,B+,Afriam Lit '20-Pres
2,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,B,Letter Grade,B,Afriam Lit '20-Pres
2,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,C,Letter Grade,C+,Afriam Lit '20-Pres
1,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,C,Letter Grade,C,Afriam Lit '20-Pres
2,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,C,Letter Grade,C-,Afriam Lit '20-Pres
3,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,Credit,Non-Letter Grade,Pass,Afriam Lit '20-Pres
1,26128,,26128,,26128,Darieck Scott,,African American Studies,150B,001,No Credit,Non-Letter Grade,Not Pass,Afriam Lit '20-Pres
36,25614,,25614,,25614,Jovan Lewis,,African American Studies,C156,001,A,Letter Grade,A,"Race, Space, Ineq"
3,25614,,25614,,25614,Jovan Lewis,,African American Studies,C156,001,B,Letter Grade,B+,"Race, Space, Ineq"
1,25614,,25614,,25614,Jovan Lewis,,African American Studies,C156,001,C,Letter Grade,C-,"Race, Space, Ineq"
1,25614,,25614,,25614,Jovan Lewis,,African American Studies,C156,001,F,Letter Grade,F,"Race, Space, Ineq"
6,25614,,25614,,25614,Jovan Lewis,,African American Studies,C156,001,Credit,Non-Letter Grade,Pass,"Race, Space, Ineq"
46,21339,,21339,,21339,Aya De Leon,,African American Studies,156AC,001,A,Letter Grade,A,Poetry 4 People:Int
3,21339,,21339,,21339,Aya De Leon,,African American Studies,156AC,001,A,Letter Grade,A-,Poetry 4 People:Int
4,21339,,21339,,21339,Aya De Leon,,African American Studies,156AC,001,B,Letter Grade,B+,Poetry 4 People:Int
5,21339,,21339,,21339,Aya De Leon,,African American Studies,156AC,001,B,Letter Grade,B,Poetry 4 People:Int
1,21339,,21339,,21339,Aya De Leon,,African American Studies,156AC,001,B,Letter Grade,B-,Poetry 4 People:Int
11,21339,,21339,,21339,Aya De Leon,,African American Studies,156AC,001,Credit,Non-Letter Grade,Pass,Poetry 4 People:Int
1,21339,,21339,,21339,Aya De Leon,,African American Studies,156AC,001,No Credit,Non-Letter Grade,Not Pass,Poetry 4 People:Int
7,21346,,21346,,21346,Aya De Leon,,African American Studies,158B,001,A,Letter Grade,A,Poet 4 People:Prac
2,21347,,21347,,21347,Chiyuma Elliott,,African American Studies,159,001,A,Letter Grade,A+,Spec Top Afam Lit
6,21347,,21347,,21347,Chiyuma Elliott,,African American Studies,159,001,A,Letter Grade,A,Spec Top Afam Lit
1,21347,,21347,,21347,Chiyuma Elliott,,African American Studies,159,001,B,Letter Grade,B+,Spec Top Afam Lit
6,21347,,21347,,21347,Chiyuma Elliott,,African American Studies,159,001,B,Letter Grade,B,Spec Top Afam Lit
2,21347,,21347,,21347,Chiyuma Elliott,,African American Studies,159,001,C,Letter Grade,C+,Spec Top Afam Lit
1,21347,,21347,,21347,Chiyuma Elliott,,African American Studies,159,001,D,Letter Grade,D,Spec Top Afam Lit
1,21347,,21347,,21347,Chiyuma Elliott,,African American Studies,159,001,No Credit,Non-Letter Grade,Not Pass,Spec Top Afam Lit
