Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,11962,,11962,,11962,Ula Taylor,,African American Studies,299,001,A,Letter Grade,A,Ind Stdy/Res
1,11961,,11961,,11961,Michael Cohen,,African American Studies,299,002,Credit,Non-Letter Grade,Satisfactory,Ind Stdy/Res
1,14540,,14540,,14540,Elisabeth Sadoulet,,Ag & Resource Econ & Pol,N299,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,12540,,12540,,12540,Jeremy Magruder,,Ag & Resource Econ & Pol,N602,001,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
4,12541,,12541,,12541,Jeffrey Perloff,,Ag & Resource Econ & Pol,N602,002,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
9,14093,,14093,,14093,Kathleen Moran,,American Studies,101AC,001,A,Letter Grade,A,Us Cultures In Time
7,14093,,14093,,14093,Kathleen Moran,,American Studies,101AC,001,A,Letter Grade,A-,Us Cultures In Time
5,14093,,14093,,14093,Kathleen Moran,,American Studies,101AC,001,B,Letter Grade,B+,Us Cultures In Time
5,14093,,14093,,14093,Kathleen Moran,,American Studies,101AC,001,B,Letter Grade,B,Us Cultures In Time
2,14093,,14093,,14093,Kathleen Moran,,American Studies,101AC,001,F,Letter Grade,F,Us Cultures In Time
1,14093,,14093,,14093,Kathleen Moran,,American Studies,101AC,001,Credit,Non-Letter Grade,Pass,Us Cultures In Time
1,16193,,16193,,16193,J Pena,,Anc Hist & Medit Archae,299,001,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,16194,,16194,,16194,J Pena,,Anc Hist & Medit Archae,299,002,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,A,Letter Grade,A+,Intro To Bio Anthro
12,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,A,Letter Grade,A,Intro To Bio Anthro
2,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,A,Letter Grade,A-,Intro To Bio Anthro
7,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,B,Letter Grade,B+,Intro To Bio Anthro
4,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,B,Letter Grade,B,Intro To Bio Anthro
2,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,C,Letter Grade,C+,Intro To Bio Anthro
1,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,D,Letter Grade,D+,Intro To Bio Anthro
1,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,F,Letter Grade,F,Intro To Bio Anthro
2,13374,,13374,,13374,Kirsten Vacca,,Anthropology,1,001,Credit,Non-Letter Grade,Pass,Intro To Bio Anthro
8,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
20,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,A,Letter Grade,A,Intro Soc/Cult Ac
6,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,A,Letter Grade,A-,Intro Soc/Cult Ac
4,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,B,Letter Grade,B+,Intro Soc/Cult Ac
3,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,B,Letter Grade,B,Intro Soc/Cult Ac
1,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,B,Letter Grade,B-,Intro Soc/Cult Ac
1,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,C,Letter Grade,C+,Intro Soc/Cult Ac
1,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,F,Letter Grade,F,Intro Soc/Cult Ac
4,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,Credit,Non-Letter Grade,Pass,Intro Soc/Cult Ac
1,13378,,13378,,13378,Brian Karl,,Anthropology,3AC,001,No Credit,Non-Letter Grade,Not Pass,Intro Soc/Cult Ac
6,13382,,13382,,13382,Annie Malcolm; Rosemary Joyce,,Anthropology,R5B,001,A,Letter Grade,A+,Reading & Comp
5,13382,,13382,,13382,Annie Malcolm; Rosemary Joyce,,Anthropology,R5B,001,A,Letter Grade,A,Reading & Comp
6,13382,,13382,,13382,Annie Malcolm; Rosemary Joyce,,Anthropology,R5B,001,A,Letter Grade,A-,Reading & Comp
2,14377,,14377,,14377,Kamala Russell; Laurie Wilkie,,Anthropology,R5B,002,A,Letter Grade,A+,Reading & Comp
4,14377,,14377,,14377,Kamala Russell; Laurie Wilkie,,Anthropology,R5B,002,A,Letter Grade,A,Reading & Comp
4,14377,,14377,,14377,Kamala Russell; Laurie Wilkie,,Anthropology,R5B,002,A,Letter Grade,A-,Reading & Comp
6,14377,,14377,,14377,Kamala Russell; Laurie Wilkie,,Anthropology,R5B,002,B,Letter Grade,B+,Reading & Comp
6,13383,,13383,,13383,Gustav Steinhardt; Rosemary Joyce,,Anthropology,R5B,003,A,Letter Grade,A,Reading & Comp
2,13383,,13383,,13383,Gustav Steinhardt; Rosemary Joyce,,Anthropology,R5B,003,A,Letter Grade,A-,Reading & Comp
4,13383,,13383,,13383,Gustav Steinhardt; Rosemary Joyce,,Anthropology,R5B,003,B,Letter Grade,B+,Reading & Comp
2,13383,,13383,,13383,Gustav Steinhardt; Rosemary Joyce,,Anthropology,R5B,003,B,Letter Grade,B,Reading & Comp
2,13383,,13383,,13383,Gustav Steinhardt; Rosemary Joyce,,Anthropology,R5B,003,B,Letter Grade,B-,Reading & Comp
2,13384,,13384,,13384,Candace Lukasik; Rosemary Joyce,,Anthropology,R5B,004,A,Letter Grade,A+,Reading & Comp
4,13384,,13384,,13384,Candace Lukasik; Rosemary Joyce,,Anthropology,R5B,004,A,Letter Grade,A,Reading & Comp
2,13384,,13384,,13384,Candace Lukasik; Rosemary Joyce,,Anthropology,R5B,004,A,Letter Grade,A-,Reading & Comp
3,13384,,13384,,13384,Candace Lukasik; Rosemary Joyce,,Anthropology,R5B,004,B,Letter Grade,B+,Reading & Comp
2,13384,,13384,,13384,Candace Lukasik; Rosemary Joyce,,Anthropology,R5B,004,B,Letter Grade,B,Reading & Comp
1,13384,,13384,,13384,Candace Lukasik; Rosemary Joyce,,Anthropology,R5B,004,C,Letter Grade,C+,Reading & Comp
23,14258,,14258,,14258,Lisa Johnson,,Anthropology,122C,001,A,Letter Grade,A,Arch Centrl America
1,14258,,14258,,14258,Lisa Johnson,,Anthropology,122C,001,B,Letter Grade,B,Arch Centrl America
17,14185,,14185,,14185,Alexei Vranich; -,,Anthropology,134A,001,A,Letter Grade,A,Archeo Field Meth
8,15920,,15920,,15920,Daniel Fisher,,Anthropology,138A,001,A,Letter Grade,A,Ethnog Film History
3,15920,,15920,,15920,Daniel Fisher,,Anthropology,138A,001,A,Letter Grade,A-,Ethnog Film History
1,15920,,15920,,15920,Daniel Fisher,,Anthropology,138A,001,B,Letter Grade,B+,Ethnog Film History
