Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
4,23721,,23721,,23721,Beverly Davis,,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
7,23721,,23721,,23721,Beverly Davis,,Aerospace Studies,1A,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
8,18799,,18799,,18799,Beverly Davis,,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
13,18799,,18799,,18799,Beverly Davis,,Aerospace Studies,1B,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
2,22890,,22890,,22890,Beverly Davis,,Aerospace Studies,1B,002,A,Letter Grade,A,Found Us Air Force
5,22890,,22890,,22890,Beverly Davis,,Aerospace Studies,1B,002,Credit,Non-Letter Grade,Pass,Found Us Air Force
11,18801,,18801,,18801,Beverly Davis,,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
13,18801,,18801,,18801,Beverly Davis,,Aerospace Studies,2B,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
4,22891,,22891,,22891,Beverly Davis,,Aerospace Studies,2B,002,A,Letter Grade,A,Evolut Of Air Power
1,22891,,22891,,22891,Beverly Davis,,Aerospace Studies,2B,002,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
82,18802,,18802,,18802,Andrew Emerson,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
2,18803,,18803,,18803,Andrew Emerson,,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
4,18803,,18803,,18803,Andrew Emerson,,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
5,18803,,18803,,18803,Andrew Emerson,,Aerospace Studies,135B,001,Credit,Non-Letter Grade,Pass,Air Force Studies
1,30629,,30629,,30629,Andrew Emerson,,Aerospace Studies,135B,002,A,Letter Grade,A+,Air Force Studies
3,30629,,30629,,30629,Andrew Emerson,,Aerospace Studies,135B,002,A,Letter Grade,A-,Air Force Studies
3,30629,,30629,,30629,Andrew Emerson,,Aerospace Studies,135B,002,Credit,Non-Letter Grade,Pass,Air Force Studies
6,18804,,18804,,18804,Ian Steele; Nikki Jones,,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
12,18804,,18804,,18804,Ian Steele; Nikki Jones,,African American Studies,R1A,001,Credit,Non-Letter Grade,Pass,Fresh Composition
14,22336,,22336,,22336,John Mundell; Nikki Jones,,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
3,22336,,22336,,22336,John Mundell; Nikki Jones,,African American Studies,R1B,001,Credit,Non-Letter Grade,Pass,Freshmn Composition
11,22901,,22901,,22901,Michael Myers Ii; Nikki Jones,,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
1,22901,,22901,,22901,Michael Myers Ii; Nikki Jones,,African American Studies,R1B,002,Credit,Non-Letter Grade,Pass,Freshmn Composition
33,23258,,23258,,23258,Nikki Jones,,African American Studies,5B,001,A,Letter Grade,A,Afam Life & Cul U S
44,23258,,23258,,23258,Nikki Jones,,African American Studies,5B,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
1,18809,,18809,,18809,Sam Mchombo,,African American Studies,10B,001,A,Letter Grade,A+,Intermed Swahili
3,18809,,18809,,18809,Sam Mchombo,,African American Studies,10B,001,A,Letter Grade,A,Intermed Swahili
2,18809,,18809,,18809,Sam Mchombo,,African American Studies,10B,001,A,Letter Grade,A-,Intermed Swahili
1,18809,,18809,,18809,Sam Mchombo,,African American Studies,10B,001,Credit,Non-Letter Grade,Pass,Intermed Swahili
2,18810,,18810,,18810,Sam Mchombo,,African American Studies,11B,001,A,Letter Grade,A,Elementary Swahili
2,18810,,18810,,18810,Sam Mchombo,,African American Studies,11B,001,A,Letter Grade,A-,Elementary Swahili
7,18810,,18810,,18810,Sam Mchombo,,African American Studies,11B,001,Credit,Non-Letter Grade,Pass,Elementary Swahili
1,18810,,18810,,18810,Sam Mchombo,,African American Studies,11B,001,No Credit,Non-Letter Grade,Not Pass,Elementary Swahili
1,18811,,18811,,18811,Sam Mchombo,,African American Studies,15B,001,A,Letter Grade,A+,Advanced Swahili
1,18811,,18811,,18811,Sam Mchombo,,African American Studies,15B,001,A,Letter Grade,A,Advanced Swahili
4,32727,,32727,,32727,Gladys Ajaelo,,African American Studies,16B,001,A,Letter Grade,A+,Elmentary Igbo
3,32727,,32727,,32727,Gladys Ajaelo,,African American Studies,16B,001,Credit,Non-Letter Grade,Pass,Elmentary Igbo
3,31074,,31074,,31074,Shiferaw Assefa,,African American Studies,18B,001,A,Letter Grade,A+,Elementary Amhari
1,31074,,31074,,31074,Shiferaw Assefa,,African American Studies,18B,001,A,Letter Grade,A,Elementary Amhari
1,31074,,31074,,31074,Shiferaw Assefa,,African American Studies,18B,001,Credit,Non-Letter Grade,Pass,Elementary Amhari
1,33723,,33723,,33723,Shiferaw Assefa,,African American Studies,21B,1,A,Letter Grade,A+,Intermd Amharic B
9,18812,,18812,,18812,Stephen Small,,African American Studies,28AC,001,A,Letter Grade,A,Glob & Min Am Comm
5,18812,,18812,,18812,Stephen Small,,African American Studies,28AC,001,A,Letter Grade,A-,Glob & Min Am Comm
3,18812,,18812,,18812,Stephen Small,,African American Studies,28AC,001,B,Letter Grade,B+,Glob & Min Am Comm
2,18812,,18812,,18812,Stephen Small,,African American Studies,28AC,001,B,Letter Grade,B-,Glob & Min Am Comm
49,18812,,18812,,18812,Stephen Small,,African American Studies,28AC,001,Credit,Non-Letter Grade,Pass,Glob & Min Am Comm
2,18812,,18812,,18812,Stephen Small,,African American Studies,28AC,001,No Credit,Non-Letter Grade,Not Pass,Glob & Min Am Comm
4,31073,,31073,,31073,John Patton,,African American Studies,39B,001,A,Letter Grade,A+,Fresh/Soph Seminar
21,31073,,31073,,31073,John Patton,,African American Studies,39B,001,A,Letter Grade,A,Fresh/Soph Seminar
7,31073,,31073,,31073,John Patton,,African American Studies,39B,001,Credit,Non-Letter Grade,Pass,Fresh/Soph Seminar
4,17148,,17148,,17148,Nikki Jones,,African American Studies,98BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,17149,,17149,,17149,Nikki Jones,,African American Studies,98BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
7,22924,,22924,,22924,Leigh Raiford,,African American Studies,100,001,A,Letter Grade,A,Black Intllctl Thgh
35,22924,,22924,,22924,Leigh Raiford,,African American Studies,100,001,Credit,Non-Letter Grade,Pass,Black Intllctl Thgh
2,22924,,22924,,22924,Leigh Raiford,,African American Studies,100,001,Credit,Non-Letter Grade,Satisfactory,Black Intllctl Thgh
2,22924,,22924,,22924,Leigh Raiford,,African American Studies,100,001,No Credit,Non-Letter Grade,Not Pass,Black Intllctl Thgh
3,18829,,18829,,18829,Janelle Scott,,African American Studies,101,001,A,Letter Grade,A,Research Methods
3,18829,,18829,,18829,Janelle Scott,,African American Studies,101,001,A,Letter Grade,A-,Research Methods
1,18829,,18829,,18829,Janelle Scott,,African American Studies,101,001,B,Letter Grade,B+,Research Methods
10,18829,,18829,,18829,Janelle Scott,,African American Studies,101,001,Credit,Non-Letter Grade,Pass,Research Methods
6,23989,,23989,,23989,Sam Mchombo,,African American Studies,115,001,A,Letter Grade,A+,Lang Soc Iss Africa
5,23989,,23989,,23989,Sam Mchombo,,African American Studies,115,001,A,Letter Grade,A,Lang Soc Iss Africa
2,23989,,23989,,23989,Sam Mchombo,,African American Studies,115,001,A,Letter Grade,A-,Lang Soc Iss Africa
1,23989,,23989,,23989,Sam Mchombo,,African American Studies,115,001,B,Letter Grade,B+,Lang Soc Iss Africa
15,23989,,23989,,23989,Sam Mchombo,,African American Studies,115,001,Credit,Non-Letter Grade,Pass,Lang Soc Iss Africa
1,22672,,22672,,22672,G Ugo Nwokeji,,African American Studies,120,001,A,Letter Grade,A+,Africa From Revolut
4,22672,,22672,,22672,G Ugo Nwokeji,,African American Studies,120,001,A,Letter Grade,A,Africa From Revolut
5,22672,,22672,,22672,G Ugo Nwokeji,,African American Studies,120,001,A,Letter Grade,A-,Africa From Revolut
2,22672,,22672,,22672,G Ugo Nwokeji,,African American Studies,120,001,B,Letter Grade,B+,Africa From Revolut
17,22672,,22672,,22672,G Ugo Nwokeji,,African American Studies,120,001,Credit,Non-Letter Grade,Pass,Africa From Revolut
26,18830,,18830,,18830,Michel Laguerre,,African American Studies,131,001,A,Letter Grade,A,"Carib Soc, Cultures"
23,18830,,18830,,18830,Michel Laguerre,,African American Studies,131,001,Credit,Non-Letter Grade,Pass,"Carib Soc, Cultures"
15,18831,,18831,,18831,Elizabeth Lowe Hunter; Michael Cohen,,African American Studies,142AC,001,A,Letter Grade,A,Race/American Film
86,18831,,18831,,18831,Elizabeth Lowe Hunter; Michael Cohen,,African American Studies,142AC,001,Credit,Non-Letter Grade,Pass,Race/American Film
5,31083,,31083,,31083,Darieck Scott,,African American Studies,152F,1,A,Letter Grade,A+,Neo-Slave Narrative
5,31083,,31083,,31083,Darieck Scott,,African American Studies,152F,1,A,Letter Grade,A,Neo-Slave Narrative
1,31083,,31083,,31083,Darieck Scott,,African American Studies,152F,1,A,Letter Grade,A-,Neo-Slave Narrative
9,31083,,31083,,31083,Darieck Scott,,African American Studies,152F,1,Credit,Non-Letter Grade,Pass,Neo-Slave Narrative
1,31083,,31083,,31083,Darieck Scott,,African American Studies,152F,1,No Credit,Non-Letter Grade,Not Pass,Neo-Slave Narrative
42,22607,,22607,,22607,Jovan Lewis,,African American Studies,C156,001,A,Letter Grade,A+,"Race, Space, Ineq"
1,22607,,22607,,22607,Jovan Lewis,,African American Studies,C156,001,A,Letter Grade,A,"Race, Space, Ineq"
9,22607,,22607,,22607,Jovan Lewis,,African American Studies,C156,001,Credit,Non-Letter Grade,Pass,"Race, Space, Ineq"
13,18832,,18832,,18832,Aya De Leon,,African American Studies,156AC,001,A,Letter Grade,A,Poetry 4 People:Int
8,18832,,18832,,18832,Aya De Leon,,African American Studies,156AC,001,A,Letter Grade,A-,Poetry 4 People:Int
3,18832,,18832,,18832,Aya De Leon,,African American Studies,156AC,001,B,Letter Grade,B+,Poetry 4 People:Int
42,18832,,18832,,18832,Aya De Leon,,African American Studies,156AC,001,Credit,Non-Letter Grade,Pass,Poetry 4 People:Int
1,18832,,18832,,18832,Aya De Leon,,African American Studies,156AC,001,Credit,Non-Letter Grade,Satisfactory,Poetry 4 People:Int
6,18839,,18839,,18839,Aya De Leon,,African American Studies,158B,001,A,Letter Grade,A,Poet 4 People:Prac
6,18839,,18839,,18839,Aya De Leon,,African American Studies,158B,001,Credit,Non-Letter Grade,Pass,Poet 4 People:Prac
7,18840,,18840,,18840,Gladys Wilkerson,,African American Studies,159,001,A,Letter Grade,A+,Spec Top Afam Lit
5,18840,,18840,,18840,Gladys Wilkerson,,African American Studies,159,001,A,Letter Grade,A,Spec Top Afam Lit
2,18840,,18840,,18840,Gladys Wilkerson,,African American Studies,159,001,A,Letter Grade,A-,Spec Top Afam Lit
1,18840,,18840,,18840,Gladys Wilkerson,,African American Studies,159,001,B,Letter Grade,B+,Spec Top Afam Lit
2,18840,,18840,,18840,Gladys Wilkerson,,African American Studies,159,001,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
1,18840,,18840,,18840,Gladys Wilkerson,,African American Studies,159,001,No Credit,Non-Letter Grade,Not Pass,Spec Top Afam Lit
27,22579,,22579,,22579,Takiyah Jackson,,African American Studies,194B,001,A,Letter Grade,A,Aatp Seminar
5,22579,,22579,,22579,Takiyah Jackson,,African American Studies,194B,001,B,Letter Grade,B,Aatp Seminar
15,22579,,22579,,22579,Takiyah Jackson,,African American Studies,194B,001,Credit,Non-Letter Grade,Pass,Aatp Seminar
1,22579,,22579,,22579,Takiyah Jackson,,African American Studies,194B,001,No Credit,Non-Letter Grade,Not Pass,Aatp Seminar
2,23389,,23389,,23389,Chiyuma Elliott,,African American Studies,H195,001,Credit,Non-Letter Grade,Pass,Sr Honors Thesis
45,16040,,16040,,16040,Jovan Lewis,,African American Studies,197,001,Credit,Non-Letter Grade,Pass,Field Study
14,16041,,16041,,16041,Sam Mchombo,,African American Studies,197,002,Credit,Non-Letter Grade,Pass,Field Study
3,16042,,16042,,16042,Nikki Jones,,African American Studies,197,003,Credit,Non-Letter Grade,Pass,Field Study
4,18841,,18841,,18841,Nikki Jones,,African American Studies,198,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
20,18842,,18842,,18842,Nikki Jones,,African American Studies,198,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
7,17146,,17146,,17146,Nikki Jones,,African American Studies,198BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
2,17147,,17147,,17147,Nikki Jones,,African American Studies,198BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
7,23992,,23992,,23992,Darieck Scott; Nadia Ellis,,African American Studies,240,001,A,Letter Grade,A,Spec Topics
