Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
10,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,A,Letter Grade,A+,"Race, Class & Gen"
8,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,A,Letter Grade,A,"Race, Class & Gen"
14,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,A,Letter Grade,A-,"Race, Class & Gen"
11,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,B,Letter Grade,B+,"Race, Class & Gen"
5,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,B,Letter Grade,B,"Race, Class & Gen"
3,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,B,Letter Grade,B-,"Race, Class & Gen"
2,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,C,Letter Grade,C+,"Race, Class & Gen"
1,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,C,Letter Grade,C,"Race, Class & Gen"
6,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,Credit,Non-Letter Grade,Pass,"Race, Class & Gen"
1,11922,,11922,,11922,Mariko Pegs; Stephen Small,,African American Studies,W111,001,No Credit,Non-Letter Grade,Not Pass,"Race, Class & Gen"
5,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A+,Hist Mod Civ Rt Mov
10,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A,Hist Mod Civ Rt Mov
18,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A-,Hist Mod Civ Rt Mov
9,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B+,Hist Mod Civ Rt Mov
11,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B,Hist Mod Civ Rt Mov
6,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B-,Hist Mod Civ Rt Mov
5,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,C,Letter Grade,C+,Hist Mod Civ Rt Mov
5,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,C,Letter Grade,C-,Hist Mod Civ Rt Mov
2,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,D,Letter Grade,D+,Hist Mod Civ Rt Mov
1,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,D,Letter Grade,D,Hist Mod Civ Rt Mov
36,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,Credit,Non-Letter Grade,Pass,Hist Mod Civ Rt Mov
8,12736,,12736,,12736,John Mundell; Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,No Credit,Non-Letter Grade,Not Pass,Hist Mod Civ Rt Mov
43,12737,,12737,,12737,Kenly Brown; Michael Myers Ii; -,,African American Studies,136L,001,A,Letter Grade,A,Criminal Jus Sur Am
3,12737,,12737,,12737,Kenly Brown; Michael Myers Ii; -,,African American Studies,136L,001,A,Letter Grade,A-,Criminal Jus Sur Am
2,12737,,12737,,12737,Kenly Brown; Michael Myers Ii; -,,African American Studies,136L,001,B,Letter Grade,B+,Criminal Jus Sur Am
1,12737,,12737,,12737,Kenly Brown; Michael Myers Ii; -,,African American Studies,136L,001,B,Letter Grade,B,Criminal Jus Sur Am
2,12737,,12737,,12737,Kenly Brown; Michael Myers Ii; -,,African American Studies,136L,001,F,Letter Grade,F,Criminal Jus Sur Am
1,12738,,12738,,12738,Frederick Vincent,,African American Studies,139L,001,A,Letter Grade,A+,Spec Top Race Law
36,12738,,12738,,12738,Frederick Vincent,,African American Studies,139L,001,A,Letter Grade,A,Spec Top Race Law
1,12738,,12738,,12738,Frederick Vincent,,African American Studies,139L,001,B,Letter Grade,B+,Spec Top Race Law
1,12738,,12738,,12738,Frederick Vincent,,African American Studies,139L,001,B,Letter Grade,B,Spec Top Race Law
1,12738,,12738,,12738,Frederick Vincent,,African American Studies,139L,001,Credit,Non-Letter Grade,Pass,Spec Top Race Law
1,12738,,12738,,12738,Frederick Vincent,,African American Studies,139L,001,No Credit,Non-Letter Grade,Not Pass,Spec Top Race Law
1,15085,,15085,,15085,Gabrielle Williams,,African American Studies,159,001,A,Letter Grade,A,Spec Top Afam Lit
3,15085,,15085,,15085,Gabrielle Williams,,African American Studies,159,001,A,Letter Grade,A-,Spec Top Afam Lit
1,15085,,15085,,15085,Gabrielle Williams,,African American Studies,159,001,B,Letter Grade,B+,Spec Top Afam Lit
1,15085,,15085,,15085,Gabrielle Williams,,African American Studies,159,001,B,Letter Grade,B-,Spec Top Afam Lit
1,15085,,15085,,15085,Gabrielle Williams,,African American Studies,159,001,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
21,15084,,15084,,15084,Brittany Botts; Ula Taylor,,African American Studies,159,002,A,Letter Grade,A,Spec Top Afam Lit
1,15084,,15084,,15084,Brittany Botts; Ula Taylor,,African American Studies,159,002,B,Letter Grade,B,Spec Top Afam Lit
4,15051,,15051,,15051,Frederick Vincent,,African American Studies,159,003,A,Letter Grade,A+,Spec Top Afam Lit
10,15051,,15051,,15051,Frederick Vincent,,African American Studies,159,003,A,Letter Grade,A,Spec Top Afam Lit
2,15051,,15051,,15051,Frederick Vincent,,African American Studies,159,003,A,Letter Grade,A-,Spec Top Afam Lit
1,15051,,15051,,15051,Frederick Vincent,,African American Studies,159,003,B,Letter Grade,B,Spec Top Afam Lit
9,15751,,15751,,15751,Sarumathi Jayaraman,,African American Studies,182AC,01,A,Letter Grade,A+,Social Movements An
19,15751,,15751,,15751,Sarumathi Jayaraman,,African American Studies,182AC,01,A,Letter Grade,A,Social Movements An
2,15751,,15751,,15751,Sarumathi Jayaraman,,African American Studies,182AC,01,A,Letter Grade,A-,Social Movements An
1,15751,,15751,,15751,Sarumathi Jayaraman,,African American Studies,182AC,01,B,Letter Grade,B-,Social Movements An
8,15751,,15751,,15751,Sarumathi Jayaraman,,African American Studies,182AC,01,Credit,Non-Letter Grade,Pass,Social Movements An
2,15751,,15751,,15751,Sarumathi Jayaraman,,African American Studies,182AC,01,No Credit,Non-Letter Grade,Not Pass,Social Movements An
