name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
"finance/Democrat/SEO, PAUL",250.0,0.0,0.0,Paul Seo for Assembly 2026
"finance/Democrat/SMALLWOOD-CUEVAS, LOLA",312.0,0.0,0.0,LOLA SMALLWOOD-CUEVAS FOR SENATE 2026
"finance/Democrat/STEFANI , CATHERINE",1100.0,0.0,0.0,Catherine Stefani for Assembly 2026
"finance/Democrat/STEYER, THOMAS F.",39800.0,0.0,0.0,Steyer for Governor 2026
"finance/Democrat/SUKATON, SAMUEL P.",835.0,0.0,0.0,Sukaton for State Board of Equalization 2026
"finance/Democrat/SWALWELL, ERIC M.",23690.0,0.0,200.0,Eric Swalwell for Governor 2026
"finance/Democrat/TAYLOR, VANCE",200.0,0.0,0.0,Vance Taylor for Assembly 2026
"finance/Democrat/THURMOND, TONY",10605.0,380.0,0.0,Tony Thurmond for Governor 2026
"finance/Democrat/TUBBS, MICHAEL",8814.99,1400.0,0.0,Michael Tubbs for Lieutenant Governor 2026
"finance/Democrat/UMBERG, THOMAS J.",562.0,0.0,0.0,Colonel (Ret.) Tom Umberg for Board of Equalization 2026
"finance/Democrat/VILLARAIGOSA, ANTONIO R.",450.0,0.0,0.0,Antonio Villaraigosa for Governor 2026
"finance/Democrat/WEBER, SHIRLEY",1500.0,0.0,0.0,Shirley Weber for Secretary of State 2026
"finance/Democrat/WICKS, BUFFY",2200.0,0.0,0.0,Buffy Wicks for Assembly 2026
"finance/Democrat/WOLFF, PATRICK",13550.0,0.0,0.0,Wolff for Insurance Commissioner 2026
"finance/Democrat/YEE , BETTY T.",7215.0,783.0,0.0,Betty Yee for Governor 2026
finance/Republican,,,,
"finance/Republican/BIANCO, CHAD",350.0,52.23,0.0,Bianco for Governor 2026
"finance/Republican/DE MAIO, CARL",366.8,0.0,0.0,Carl DeMaio for State Assembly 2026
"finance/Republican/DE MAIO, CARL",987.9,0.0,0.0,Reform California with Carl DeMaio - Ballot Measure Committee
"finance/Republican/GATES, MICHAEL",500.0,0.0,0.0,Gates for Attorney General 2026
"finance/Republican/HILTON, STEVE",6028.71,200.0,0.0,Steve Hilton for Governor 2026
"finance/Republican/JOHNSON, NATASHA",5900.0,0.0,0.0,Johnson for Assembly 2026
"finance/Republican/MORGAN, HERBERT W.",260.25,0.0,0.0,Herb Morgan For State Controller 2026
"finance/Republican/MURPHY, MICHAEL",1000.0,0.0,0.0,Murphy for Assembly 2026
"finance/Republican/RUBAY, JOSEPH A.",615.0,0.0,0.0,Friends of Joe Rubay for Assembly 2026
"finance/Republican/SHIREMAN, WILLIAM K.",52.4,0.0,0.0,"SHIREMAN FOR BOARD OF EQUALIZATION DISTRICT 2, 2026; BILL"
finance/Green,,,,
"finance/Green/RENDON, MARK B",178.42,0.0,105.72,"RENDON FOR ASSEMBLY, 2026; MARK"
"finance/Green/WARE, RUDOLPH ""BUTCH"" T",2497.04,0.0,426.0,Butch Ware for Governor 2026
finance/Peace and Freedom,,,,
"finance/Peace and Freedom/ADAMS, MEGHANN L",107.49,0.0,0.0,ADAMS FOR CONTROLLER 2026; MEGHANN
"finance/Peace and Freedom/ROBINSON, RAMSEY",134.76,0.0,0.0,ROBINSON FOR GOVERNOR 2026; RAMSEY
"finance/Peace and Freedom/VARGAS, EDUARDO E.",0.0,0.0,10.0,VARGAS FOR INSURANCE COMMISSIONER 2026; LALO
finance/Non-Partisan,,,,
"finance/Non-Partisan/BARRERA, RICHARD",450.0,0.0,0.0,Richard Barrera for Superintendent of Public Instruction 2026
"finance/Non-Partisan/LARA, FRANK",0.0,0.0,600.0,LARA FOR SUPERINTENDENT OF PUBLIC INSTRUCTION 2026; FRANK
"finance/Non-Partisan/MANDELMAN, RAFAEL",500.0,0.0,0.0,Rafael Mandelman for Assembly 2028
"finance/Non-Partisan/MURATSUCHI, AL",2100.0,0.0,0.0,Al Muratsuchi for Superintendent of Public Instruction 2026
"finance/Non-Partisan/NEWMAN, JOSH",100.0,0.0,0.0,Josh Newman for Supt. of Public Instruction 2026
