name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
"finance/Democrat/ROWDEN, AARON B",25,0,0,ROWDEN FOR CONGRESS
"finance/Democrat/RUIZ, RAUL DR.",220,0,0,DR. RAUL RUIZ FOR CONGRESS
"finance/Democrat/RUTINEL, MANNY",105225,4333.33,0,MANNY RUTINEL FOR CONGRESS
"finance/Democrat/RYAN, PATRICK",15000,0,0,PAT RYAN FOR CONGRESS
"finance/Democrat/RYERSE, ROBB",46,0,0,ROBB FOR CONGRESS
"finance/Democrat/SAGE, NATHAN",7500,0,0,SAGE FOR SENATE
"finance/Democrat/SALINAS, ANDREA",360,36,0,ANDREA SALINAS FOR OREGON
"finance/Democrat/SCANLON, MARY GAY",500,0,0,SCANLON FOR CONGRESS
"finance/Democrat/SCHATZ, BRIAN",21000,0,0,SCHATZ FOR SENATE
"finance/Democrat/SCHIFF, ADAM",18747.16,1000,0,SCHIFF FOR SENATE
"finance/Democrat/SCHLOSSBERG, JOHN (JACK) BOUVIER KENNE",500,0,0,JACK FOR NEW YORK
"finance/Democrat/SCHMIDT, PATRICK",250,0,0,PATRICK SCHMIDT FOR SENATE
"finance/Democrat/SCHOLTEN, HILLARY",1000,0,0,SCHOLTEN FOR CONGRESS
"finance/Democrat/SCHRIER, KIM DR.",1250,1035.25,0,DR KIM SCHRIER FOR CONGRESS
"finance/Democrat/SCHULTZ, MATTHEW DAMIAN",650,0,0,MATT SCHULTZ FOR ALASKA
"finance/Democrat/SCHUMER, CHARLES E.",1273,85,0,FRIENDS OF SCHUMER
"finance/Democrat/SCHWALBE, NINA",800,0,0,FRIENDS OF NINA SCHWALBE
"finance/Democrat/SCHWARTZ, DANIEL",0,500,0,DAN SCHWARTZ FOR CONGRESS
"finance/Democrat/SEIFELDEIN, MO",3500,0,0,MO FOR CONGRESS
"finance/Democrat/SERVANCE, SQUIRE",300,0,0,SERVANCE FOR CONGRESS INC.
"finance/Democrat/SHAH, AMISH DR.",12500,0,0,AMISH FOR ARIZONA
"finance/Democrat/SHOFFNER, HALLIE",750,0,0,HALLIE SHOFFNER FOR ARKANSAS
"finance/Democrat/SHOWALTER, REED",0,250,0,REED SHOWALTER FOR CONGRESS
"finance/Democrat/SIMMONS, MIKE",100,500,0,MIKE SIMMONS FOR CONGRESS
"finance/Democrat/SIMON, LATEEFAH",54065,1250,500,LATEEFAH FOR CONGRESS
"finance/Democrat/SIMONELLI, LUCIA DORA",3500,0,0,FRIENDS OF LUCIA
"finance/Democrat/SLOTKIN, ELISSA",3672.5,0,0,ELISSA SLOTKIN FOR MICHIGAN
"finance/Democrat/SORENSEN, ERIC",500,0,0,ERIC SORENSEN FOR ILLINOIS
"finance/Democrat/STANSBURY, MELANIE",1365,0,0,MELANIE FOR NEW MEXICO
"finance/Democrat/STELSON, JANELLE",34554.62,349.61,500,FRIENDS OF JANELLE STELSON
"finance/Democrat/STEVENS, HALEY",6575,2000,0,HALEY STEVENS FOR SENATE
"finance/Democrat/STICHEL, ADELE",250,0,0,ADELE FOR CONGRESS
"finance/Democrat/STRATTON, JULIANA",6085,0,0,JULIANA FOR ILLINOIS
"finance/Democrat/STRICKLAND, MARILYN",2500,0,0,STRICKLAND FOR WASHINGTON
"finance/Democrat/SUBRAMANYAM, SUHAS",1000,0,0,SUHAS FOR VIRGINIA
"finance/Democrat/SULLIVAN, MAURA CORBY",1250,0,0,MAURA SULLIVAN FOR CONGRESS
"finance/Democrat/SUOZZI, THOMAS",7071.43,0,0,SUOZZI FOR CONGRESS
"finance/Democrat/SWALWELL, ERIC MICHAEL",1557.5,0,100,SWALWELL FOR CONGRESS
"finance/Democrat/SWARTZ, JESSICA",250,0,0,JESSICA FOR MICHIGAN
"finance/Democrat/SYKES, EMILIA",4428.57,0,0,EMILIA SYKES FOR CONGRESS
"finance/Democrat/TAKANO, MARK",510,0,0,MARK TAKANO FOR CONGRESS
"finance/Democrat/TALARICO, JAMES",77135.12,250,1000,TALARICO FOR TEXAS
"finance/Democrat/TAYLOR, SHANNON LEIGH",8325,0,0,SHANNON TAYLOR FOR VA
"finance/Democrat/THANEDAR, SHRI",500,0,0,SHRI FOR CONGRESS
"finance/Democrat/THOMPSON, MIKE MR.",12510.5,0,0,MIKE THOMPSON FOR CONGRESS
"finance/Democrat/TLAIB, RASHIDA",6426.54,0,879.5,RASHIDA TLAIB FOR CONGRESS
"finance/Democrat/TORRES, RITCHIE JOHN",350,0,0,TORRES FOR CONGRESS
"finance/Democrat/TRAN, DEREK",18201.41,0,3500,DEREK TRAN FOR CONGRESS
"finance/Democrat/TREBLE, JONATHAN",2250,0,0,TREBLE FOR ARIZONA
"finance/Democrat/TRONE GARRIOTT, SARAH",33463.99,299.62,1250,SARAH FOR IOWA
"finance/Democrat/TULLY, DAN",175,0,0,DAN TULLY FOR CONGRESS
"finance/Democrat/TUREK, JOSHUA",20740.83,2500,750,JOSH TUREK FOR IOWA
"finance/Democrat/TURNAGE, EVAN",250,0,0,TURNAGE FOR CONGRESS
"finance/Democrat/TWEDT-BALL, CLINTON GENE",550,0,0,CLINT FOR IOWA
"finance/Democrat/UNDERWOOD, LAUREN",950,1500,0,LAUREN UNDERWOOD FOR CONGRESS
"finance/Democrat/URRUTIA, CHRISTIAN",800,0,0,URRUTIA FOR NH
"finance/Democrat/VALDEZ, CLAIRE",4850,0,200,CLAIRE VALDEZ FOR CONGRESS
"finance/Democrat/VAN HOLLEN, CHRIS",3500,0,0,VAN HOLLEN FOR SENATE
"finance/Democrat/VANDENBERG, TYLER ISAAC",1500,0,0,TYLER VANDENBERG FOR US CONGRESS
"finance/Democrat/VANG, MAI",3660,0,0,MAI VANG FOR CONGRESS
"finance/Democrat/VARET, ESTHER KIM",1950,250,0,ESTHER KIM VARET FOR CONGRESS
"finance/Democrat/VASQUEZ, GABRIEL",11750,250,0,GABE VASQUEZ FOR CONGRESS
"finance/Democrat/VEGA, JOSE DAVID",1030.48,0,0,VEGA FOR CONGRESS
"finance/Democrat/VILLEGAS, RANDY",66109.14,2448.33,2700,VILLEGAS FOR CONGRESS
"finance/Democrat/VINDMAN, ALEXANDER",12075,100,0,ALEX VINDMAN FOR FLORIDA
"finance/Democrat/VINDMAN, YEVGENY 'EUGENE'",6082.5,0,0,VINDMAN FOR CONGRESS
"finance/Democrat/VON WILPERT, MARNI",6526.8,250,0,MARNI VON WILPERT FOR CONGRESS
"finance/Democrat/WAHAB, AISHA",2150,0,0,DR. AISHA WAHAB FOR CONGRESS
"finance/Democrat/WALKINSHAW, JAMES",875,0,0,WALKINSHAW FOR CONGRESS
"finance/Democrat/WALLACE, RACHEL",0,1000,0,WALLACE FOR CONGRESS
"finance/Democrat/WANG, SAMUEL S.-H. MR.",0,3875,2250,SAM WANG FOR CONGRESS
"finance/Democrat/WARNER, MARK ROBERT",44565,0,0,FRIENDS OF MARK WARNER
"finance/Democrat/WARNOCK, RAPHAEL",2212.47,91.63,0,WARNOCK FOR GEORGIA
"finance/Democrat/WARREN, ELIZABETH",6693,900,0,"WARREN FOR SENATE, INC."
"finance/Democrat/WEIL, JOSHUA JOSEPH",250,1000,0,JOSH WEIL FOR SENATE
"finance/Democrat/WELCH, PETER",100,0,0,WELCH FOR VERMONT
"finance/Democrat/WELLMAN, FREDERICK PAUL",2600,0,0,WELLMAN FOR MISSOURI
"finance/Democrat/WETTACH, TAYLOR",0,1000,0,TAYLOR WETTACH FOR CONGRESS
"finance/Democrat/WHATLEY, PIERRE",1000,0,0,PIERRE WHATLEY FOR CONGRESS
"finance/Democrat/WHITE, ROBERT C. JR.",0,500,0,THE CONGRESSIONAL COMMITTEE TO ELECT ROBERT WHITE 2026
"finance/Democrat/WHITEHOUSE, SHELDON",3612.5,0,0,WHITEHOUSE FOR SENATE
"finance/Democrat/WHITESIDES, GEORGE",16826.43,7000,0,GEORGE WHITESIDES FOR CONGRESS
"finance/Democrat/WIENER, SCOTT",416380,7500,1000,SCOTT WIENER FOR CONGRESS
"finance/Democrat/WINDER, BAYLY PHILIP CHRISTOPER",0,5000,0,BAYLY WINDER FOR CONGRESS
"finance/Democrat/WOOD, JORDAN",4063,0,0,JORDAN FOR MAINE
"finance/Democrat/YONCE, ERIC",5,0,0,ERIC YONCE FOR US HOUSE OF REPRESENTATIVES
"finance/Democrat/ZALESNE, KINNEY",0,250,0,KINNEY FOR DC
finance/Republican,,,,
"finance/Republican/ARENHOLZ, ASHLEY HINSON",0,1000,0,ASHLEY FOR IOWA
"finance/Republican/BANKS, JAMES E. HON.",37000,0,0,BANKS FOR SENATE
"finance/Republican/BARRASSO, JOHN A",8000,0,0,FRIENDS OF JOHN BARRASSO
"finance/Republican/BEGICH, NICHOLAS III",500,0,0,ALASKANS FOR NICK BEGICH
"finance/Republican/BILIRAKIS, GUS M",14000,0,0,BILIRAKIS FOR CONGRESS
"finance/Republican/BLACKBURN, MARSHA MRS.",275,0,0,MARSHA FOR SENATE
"finance/Republican/BRIEM, MARGARET ELIZABETH",0,520.51,0,BRIEM FOR CONGRESS
"finance/Republican/BRITT, KATIE BOYD",502.3,0,0,BRITT FOR ALABAMA INC
"finance/Republican/CAPITO, SHELLEY MOORE",14750,1000,0,CAPITO FOR WEST VIRGINIA
"finance/Republican/CARTER, EARL LEROY",7000,0,0,BUDDY CARTER FOR SENATE
"finance/Republican/CASSIDY, WILLIAM M.",7000,0,0,BILL CASSIDY FOR US SENATE
"finance/Republican/COLLINS, SUSAN M.",15593.06,0,0,COLLINS FOR SENATOR
"finance/Republican/CORNYN, JOHN SEN",0,1000,0,TEXANS FOR SENATOR JOHN CORNYN INC.
"finance/Republican/COTTON, THOMAS",11500,0,0,"COTTON FOR SENATE, INC."
"finance/Republican/CRANE, ELI",260,0,0,ELI CRANE FOR CONGRESS
"finance/Republican/CRAWFORD, ERIC ALAN RICK",20000,0,0,CRAWFORD FOR CONGRESS
"finance/Republican/CRUZ, RAFAEL EDWARD  TED",260.41,0,0,TED CRUZ FOR SENATE
"finance/Republican/DAINES, STEVE",10,0,0,STEVE DAINES FOR MONTANA
"finance/Republican/ELLZEY, JOHN KEVIN SR.",30.4,0,0,JAKE ELLZEY FOR CONGRESS
"finance/Republican/FLEISCHMANN, CHARLES J",21000,0,0,"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC."
"finance/Republican/GALLAGHER, JAMES",500,250,0,GALLAGHER FOR CONGRESS
"finance/Republican/GALLREIN, ED",0,1000,0,GALLREIN FOR CONGRESS
"finance/Republican/GARBARINO, ANDREW",3500,0,0,GARBARINO FOR CONGRESS
"finance/Republican/GONZALES, ERNEST ANTHONY TONY II",2000,0,0,TONY GONZALES FOR CONGRESS
"finance/Republican/GUTHRIE, S. BRETT BRETT HON.",21000,0,0,GUTHRIE FOR CONGRESS
"finance/Republican/HAGERTY, BILL",71.5,0,0,TEAM HAGERTY
"finance/Republican/HARSHBARGER, DIANA",500,0,0,DIANA FOR CONGRESS
"finance/Republican/HAWLEY, JOSHUA DAVID SEN",18000,0,0,JOSH HAWLEY FOR SENATE
"finance/Republican/HUSTED, JON",0,0,1000,HUSTED FOR SENATE
"finance/Republican/JOHNSON, JAMES MICHAEL",28185.67,0,0,MIKE JOHNSON FOR LOUISIANA
"finance/Republican/KIGGANS, JENNIFER",100,0,0,KIGGANS FOR CONGRESS
"finance/Republican/KIM, YOUNG",289.36,0,0,YOUNG KIM FOR CONGRESS
"finance/Republican/LAMALFA, DOUG",1000,0,0,DOUG LAMALFA COMMITTEE
"finance/Republican/LEE, LAUREL",7000,0,0,"LAUREL LEE FOR CONGRESS, INC."
"finance/Republican/MALOY, CELESTE",21000,7000,0,CELESTE FOR CONGRESS
"finance/Republican/MARSHALL, STEVEN T",0.95,0,0,STEVE MARSHALL FOR SENATE
"finance/Republican/MASSIE, THOMAS H.",8825,0,250,THOMAS MASSIE FOR CONGRESS
"finance/Republican/MAST, BRIAN",7000,0,0,MAST FOR CONGRESS
"finance/Republican/MCCORMICK, DAVE",0,1800,0,FRIENDS OF DAVE MCCORMICK
"finance/Republican/MOODY, ASHLEY",19000,0,0,MOODY FOR FLORIDA
"finance/Republican/MOOLENAAR, JOHN MR.",22000,0,0,MOOLENAAR FOR CONGRESS
"finance/Republican/MORAN, NATHANIEL QUENTIN",17771.3,0,0,NATHANIEL MORAN FOR CONGRESS
"finance/Republican/NICK, LALOTA",7000,0,0,LALOTA FOR CONGRESS
"finance/Republican/NUNN, ZACH",3000,0,0,IOWANS FOR ZACH NUNN
"finance/Republican/OBERNOLTE, JAY",12492.2,0,0,JAY OBERNOLTE FOR CONGRESS
"finance/Republican/OKPAREKE, NDIDIAMAKA",500,0,0,NDIDIAMAKA OKPAREKE FOR CONGRESS
"finance/Republican/PERRY, SCOTT",100,0,0,PATRIOTS FOR PERRY
"finance/Republican/RICKETTS, PETE",2000,0,0,PETE RICKETTS FOR SENATE
"finance/Republican/RISCH, JAMES E MR.",0,2000,0,JIM RISCH FOR U.S. SENATE COMMITTEE
"finance/Republican/ROGERS, MICHAEL J",50,0,0,ROGERS FOR SENATE
"finance/Republican/ROUNDS, MIKE",14000,1500,0,ROUNDS FOR SENATE
"finance/Republican/SCOTT, TIMOTHY E.",312.3,0,0,TIM SCOTT FOR AMERICA
"finance/Republican/SHEEHY, TIM",3300,0,0,TIM SHEEHY FOR MONTANA
"finance/Republican/STEFANIK, ELISE M.",260.25,0,0,ELISE FOR CONGRESS
"finance/Republican/SULLIVAN, DAN",17500,1000,0,ALASKANS FOR DAN SULLIVAN
"finance/Republican/VAN ORDEN, DERRICK F. MR.",100,0,0,VAN ORDEN FOR CONGRESS
"finance/Republican/WHATLEY, MICHAEL",500,0,0,WHATLEY FOR SENATE
"finance/Republican/WITTMAN, ROBERT J. MR.",4500,0,0,ROB WITTMAN FOR CONGRESS
"finance/Republican/YOUNG, TODD CHRISTOPHER",14000,0,0,"FRIENDS OF TODD YOUNG, INC."
finance/Independent,,,,
"finance/Independent/ACHILLES, TODD BAKER",6000,0,0,TODD ACHILLES FOR IDAHO
"finance/Independent/BENGS, BRIAN",7250,0,0,BENGS FOR SOUTH DAKOTA
"finance/Independent/BODNAR, SETH",20600,0,0,SETH BODNAR FOR MONTANA
"finance/Independent/HAHN, NICOLETTE G.",500,0,0,NICOLETTE HAHN NIMAN FOR CONGRESS
"finance/Independent/HILL, BILL",26209.21,0,0,BILL HILL FOR ALASKANS
"finance/Independent/KILEY, KEVIN",100,0,0,KEVIN KILEY FOR CONGRESS
"finance/Independent/MACIAS, MAYRA",250,0,3089,MAYRA MACIAS FOR CONGRESS
"finance/Independent/MILLERON, NADIA D",6800,0,0,NADIA FOR CONGRESS
"finance/Independent/OSBORN, DAN",24605.91,1000,0,OSBORN FOR SENATE
"finance/Independent/POWELL, NATE",4545.45,0,0,POWELL FOR CONGRESS
"finance/Independent/SANDERS, BERNARD",41640,2443,564,FRIENDS OF BERNIE SANDERS
"finance/Independent/SAWANT, KSHAMA",508.05,0,0,KSHAMA FOR CONGRESS
finance/Party for Socialism and Liberation,,,,
"finance/Party for Socialism and Liberation/TACHE, JOSEPH",910,0,0,JOE TACHE FOR SENATE
