name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
"finance/Democrat/CHIARADIO, MICHAEL ALEXIS",500,0,0,"MICHAEL A. CHIARADIO FOR CONGRESS 2026, INC."
"finance/Democrat/CHUNG, ERIC",5455,250,700,ERIC CHUNG FOR MICHIGAN
"finance/Democrat/CISNEROS, GILBERT",250,0,0,CISNEROS FOR CONGRESS
"finance/Democrat/CLARK, JASMINE",1550,0,0,JASMINE CLARK FOR GEORGIA
"finance/Democrat/CLEVELAND, RUSSELL TYLER",250,0,0,CLEVELAND FOR CONGRESS
"finance/Democrat/COGNETTI, PAIGE",24290.6,1049.61,0,PAIGE FOR PA
"finance/Democrat/COHEN, JEFF",0,250,0,JEFF COHEN FOR CONGRESS
"finance/Democrat/COLOM, SCOTT",7250,0,0,SCOTT COLOM FOR SENATE
"finance/Democrat/CONLEY, CAIT",10933.33,300,0,CAIT FOR NEW YORK
"finance/Democrat/CONWAY, GEORGE",2429,0,0,GEORGE CONWAY FOR CONGRESS
"finance/Democrat/COOKE, REBECCACOOKE, REBECCA",37295,0,0,COOKE FOR CONGRESS
"finance/Democrat/COONEY, JOSEPH PATRICK",1300,0,0,COONEY FOR CONGRESS
"finance/Democrat/COONS, CHRISTOPHER A.",7000,0,0,CHRIS COONS FOR DELAWARE
"finance/Democrat/COOPER, ROY",64112.5,1000,0,COOPER FOR NORTH CAROLINA
"finance/Democrat/COPELAND, DARDEN HUNTER",1125,0,0,DARDEN COPELAND FOR CONGRESS
"finance/Democrat/CORTEZ MASTO, CATHERINE",244,2.5,0,CATHERINE CORTEZ MASTO FOR SENATE
"finance/Democrat/COURTNEY, JOSEPH",500,0,0,COURTNEY FOR CONGRESS
"finance/Democrat/CRAIG, ANGIE",9550,0,0,ANGIE CRAIG FOR MINNESOTA
"finance/Democrat/CROCKETT, JASMINE",8177.5,950,0,JASMINE FOR TEXAS
"finance/Democrat/CROCKETT, JASMINE",2180,0,0,JASMINE FOR US
"finance/Democrat/CROFT, CAMMIE L",4500,0,0,CAMMIE FOR CONGRESS
"finance/Democrat/CROSSWELL, RYAN",750,0,0,CROSSWELL FOR CONGRESS
"finance/Democrat/CROW, JASON",2550,0,0,JASON CROW FOR CONGRESS
"finance/Democrat/DALTON, BALE",1700,0,0,DALTON FOR FLORIDA
"finance/Democrat/DANDIYA, PIA",750,0,0,PIA DANDIYA FOR CONGRESS
"finance/Democrat/DAVIDS, SHARICE",3830,0,75,SHARICE FOR CONGRESS
"finance/Democrat/DAVIDSON, BETH",1250,0,0,BETH DAVIDSON FOR CONGRESS
"finance/Democrat/DAVIS, CHRISTY",500,0,0,CHRISTY DAVIS FOR KANSAS 2026
"finance/Democrat/DAVIS, DON",10816.67,250,0,DON DAVIS FOR NC
"finance/Democrat/DAVIS, JAMIE",500,0,18,JAMIE DAVIS FOR U.S. SENATE
"finance/Democrat/DE LA TORRE, HECTOR",4750,0,0,DE LA TORRE FOR CONGRESS
"finance/Democrat/DEAN, JONATHAN",110,0,0,DEAN FOR ILLINOIS
"finance/Democrat/DECIO, JAMEE MS.",250,0,0,JAMEE DECIO CONGRESSIONAL CAMPAIGN COMMITTEE
"finance/Democrat/DELBENE, SUZAN K",27,0,0,DELBENE FOR CONGRESS
"finance/Democrat/DELUZIO, CHRISTOPHER",1660,0,0,CHRIS DELUZIO FOR CONGRESS
"finance/Democrat/DENNEY, AUDREY",7350,1500,0,DENNEY FOR CONGRESS
"finance/Democrat/DESAULNIER, MARK",4750,0,0,MARK DESAULNIER FOR CONGRESS
"finance/Democrat/DIXIT, ANUJ",1750,0,0,ANUJ DIXIT FOR CONGRESS
"finance/Democrat/DUCKWORTH, L. TAMMY",1605,0,0,TAMMY FOR ILLINOIS
"finance/Democrat/DUNLAP, MATT",500,0,0,DUNLAP FOR CONGRESS
"finance/Democrat/DUNN, HARRY",1094,0,0,HARRY DUNN FOR MARYLAND
"finance/Democrat/EDWARDS, AMANDA",250,0,0,AMANDA EDWARDS FOR CONGRESS
"finance/Democrat/EL-SAYED, ABDUL",21139.27,0,120,ABDUL FOR U.S. SENATE
"finance/Democrat/ESPAILLAT, ADRIANO",3500,0,0,ADRIANO ESPAILLAT FOR CONGRESS
"finance/Democrat/FARRELL, MICHAEL",90,0,0,MICHAEL FARRELL FOR UTAH
"finance/Democrat/FETTERMAN, JOHN KARL",797.5,0,0,FETTERMAN FOR PA
"finance/Democrat/FISHER, THOMAS DR.",500,0,0,THOMAS FISHER FOR CONGRESS
"finance/Democrat/FLANAGAN, MARGARET",10237,1000,0,PEGGY FLANAGAN FOR MINNESOTA
"finance/Democrat/FLOYD, JAMI",16000,850,0,JAMI FLOYD FOR CONGRESS
"finance/Democrat/FORD, EARLE",100,0,0,EARLE FORD FOR CONGRESS
"finance/Democrat/FORSTAG, SAMUEL KELLEY",13712.5,0,0,SAM FOR MONTANA
"finance/Democrat/FOSTER, G. WILLIAM (BILL)",8550,5550,440,BILL FOSTER FOR CONGRESS
"finance/Democrat/FROST, MAXWELL ALEJANDRO",650,0,0,MAXWELL ALEJANDRO FROST FOR CONGRESS
"finance/Democrat/GALAN-WOODS, MARLENE",1050,0,0,MARLENE FOR CONGRESS 2026
"finance/Democrat/GALLANT, CHRISTOPHER",250,0,0,GALLANT FOR CONGRESS
"finance/Democrat/GALLEGO, RUBEN",3150,175,0,GALLEGO FOR ARIZONA
"finance/Democrat/GARAMENDI, JOHN",1000,0,1000,GARAMENDI FOR CONGRESS
"finance/Democrat/GARCIA, ROBERT",1211,1000,0,ROBERT GARCIA FOR CONGRESS
"finance/Democrat/GENDEBIEN, BLAKE",623,0,0,BLAKE FOR THE NORTH COUNTRY
"finance/Democrat/GILLEN, LAURA",1271.42,250,0,GILLEN FOR NY
"finance/Democrat/GILLIBRAND, KIRSTEN",1683,0,0,GILLIBRAND FOR SENATE
"finance/Democrat/GLUESENKAMP PEREZ, MARIE",13878.57,500,250,MARIE FOR CONGRESS
"finance/Democrat/GOLDEN, JARED",4430,0,0,COMMITTEE TO ELECT JARED GOLDEN
"finance/Democrat/GOLDMAN, DANIEL",6200,0,1000,DAN GOLDMAN FOR NEW YORK
"finance/Democrat/GOLDSTEIN, ALEXIS",250,250,0,GOLDSTEIN FOR MARYLAND
"finance/Democrat/GONZALES, JULIE",1125,0,0,JULIE FOR COLORADO
"finance/Democrat/GONZALES-TORRES, ANGELA",3300,0,0,ANGELA FOR CA34
"finance/Democrat/GONZALEZ, VICENTE",11000,250,0,VICENTE GONZALEZ FOR CONGRESS
"finance/Democrat/GOODLANDER, MAGGIE",250,0,0,MAGGIE FOR CONGRESS
"finance/Democrat/GRAY, ADAM C.",13416.63,7450,0,ADAM GRAY FOR CONGRESS
"finance/Democrat/GRAY, LEELA J",1000,0,0,LEELA J GRAY FOR CONGRESS INC
"finance/Democrat/GREEN, AMANDA MARIE",500,0,0,AMANDA MARIE GREEN FOR CONGRESS
"finance/Democrat/GRIJALVA, ADELITA",250,0,0,LA GENTE FOR GRIJALVA
"finance/Democrat/GUERRERO, MARTHA",600,0,0,MARTHA GUERRERO FOR CONGRESS
"finance/Democrat/HALL, HEIDI",4300,250,0,HEIDI HALL FOR CONGRESS
"finance/Democrat/HAMAWY, ADAM",1800,0,0,HAMAWY FOR NEW JERSEY
"finance/Democrat/HARDER, JOSH",57812.15,10350,13800,JOSH HARDER FOR CONGRESS
"finance/Democrat/HARDY, KIMBERLY DR.",500,0,0,KIMBERLY HARDY FOR CONGRESS
"finance/Democrat/HARRIS, SHAWN",4131.78,0,0,SHAWN HARRIS FOR CONGRESS
"finance/Democrat/HARVIE, ROBERT J",15619.01,0,0,BOB HARVIE FOR CONGRESS
"finance/Democrat/HASSAN, MARGARET WOOD",11840,1000,0,MAGGIE FOR NH
"finance/Democrat/HAYNES, FREDERICK III",1000,0,0,HAYNES FOR CONGRESS
"finance/Democrat/HEINRICH, MARTIN",5600,0,0,MARTIN HEINRICH FOR SENATE
"finance/Democrat/HELMER, DAN",7500,0,0,HELMER FOR CONGRESS
"finance/Democrat/HICKENLOOPER, JOHN W.",20505,250,0,HICKENLOOPER FOR COLORADO
"finance/Democrat/HIMES, JIM",7000,0,0,HIMES FOR CONGRESS
"finance/Democrat/HINES, CHRISTINA",300,0,0,CHRISTINA FOR CONGRESS
"finance/Democrat/HO, THIEN",4000,0,0,THIEN HO FOR CONGRESS
"finance/Democrat/HOOK, KRISTIN A DR.",1250,0,0,DR. KRISTIN HOOK FOR CONGRESS
"finance/Democrat/HORSFORD, STEVEN ALEXZANDER",10216.65,0,0,NEVADANS FOR STEVEN HORSFORD
"finance/Democrat/HUBBARD, CHUCK",1500,0,0,CHUCK HUBBARD FOR CONGRESS
"finance/Democrat/HUFFMAN, JARED",9459,0,0,HUFFMAN FOR CONGRESS
"finance/Democrat/HUNT, EVAN",1275,0,0,ELECT EVAN HUNT
"finance/Democrat/HUYNH, KHAI-HOAN",500,0,0,HOAN FOR 9
"finance/Democrat/IRWIN, JACQUI V",2500,0,0,JACQUI IRWIN FOR CONGRESS
"finance/Democrat/ISRANI, RAKHI",14000,0,0,RAKHI ISRANI FOR CONGRESS
"finance/Democrat/IVEY, GLENN FREDERICK",1000,0,0,GLENN F. IVEY FOR CONGRESS
"finance/Democrat/JACOBS, SARA",250,0,0,SARA JACOBS FOR CONGRESS
"finance/Democrat/JAMES, LINDSAY",7404.17,0,0,LINDSAY FOR IOWA
"finance/Democrat/JAYAPAL, PRAMILA",3340,0,180,PRAMILA FOR CONGRESS
"finance/Democrat/JEFFRIES, HAKEEM",8352.6,0,0,JEFFRIES FOR CONGRESS
"finance/Democrat/JENKINS, JENNIFER",1000,0,0,JENNIFER JENKINS FOR U.S. CONGRESS
"finance/Democrat/JOHNSON, JACOB",300,250,0,JAKE JOHNSON FOR CONGRESS
